sample_id	sample_desc	strain	genus	species	input_type	files	trim	metadata
10315_6#21			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349767_1.fastq.gz;examples/Kp89/raw/ERR349767_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery A;Specimen:Blood
10315_6#22			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349768_1.fastq.gz;examples/Kp89/raw/ERR349768_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:ICU;Specimen:Pus
10315_6#23			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349769_1.fastq.gz;examples/Kp89/raw/ERR349769_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:ER;Specimen:Swab
10315_6#24			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349770_1.fastq.gz;examples/Kp89/raw/ERR349770_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:susceptible;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:ICU;Specimen:Sputum
10315_6#27			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349773_1.fastq.gz;examples/Kp89/raw/ERR349773_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:susceptible;Ward of isolation:Medical;Specimen:Catheter tip
10315_6#28			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349774_1.fastq.gz;examples/Kp89/raw/ERR349774_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery C;Specimen:Swab
10315_6#29			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349775_1.fastq.gz;examples/Kp89/raw/ERR349775_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:ET Tip
10315_6#3			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349749_1.fastq.gz;examples/Kp89/raw/ERR349749_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:Blood
10315_6#31			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349777_1.fastq.gz;examples/Kp89/raw/ERR349777_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:Sputum
10315_6#32			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349778_1.fastq.gz;examples/Kp89/raw/ERR349778_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Private;Specimen:Urine
10315_6#34			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349780_1.fastq.gz;examples/Kp89/raw/ERR349780_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:Sputum
10315_6#38			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349784_1.fastq.gz;examples/Kp89/raw/ERR349784_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Paediatric;Specimen:Swab
10315_6#39			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349785_1.fastq.gz;examples/Kp89/raw/ERR349785_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:intermediate;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:susceptible;Ward of isolation:Medical;Specimen:Sputum
10315_6#40			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349786_1.fastq.gz;examples/Kp89/raw/ERR349786_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:intermediate;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:Sputum
10315_6#41			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349787_1.fastq.gz;examples/Kp89/raw/ERR349787_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:Sputum
10315_6#42			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349788_1.fastq.gz;examples/Kp89/raw/ERR349788_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:Sputum
10315_6#43			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349789_1.fastq.gz;examples/Kp89/raw/ERR349789_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Gynaecological;Specimen:Pus
10315_6#44			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349790_1.fastq.gz;examples/Kp89/raw/ERR349790_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:intermediate;ciprofloxacin:susceptible;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:susceptible;Ward of isolation:Paediatric;Specimen:Urine
10315_6#45			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349791_1.fastq.gz;examples/Kp89/raw/ERR349791_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery B;Specimen:Blood
10315_6#49			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349795_1.fastq.gz;examples/Kp89/raw/ERR349795_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:susceptible;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Maternity;Specimen:Pus
10315_6#5			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349751_1.fastq.gz;examples/Kp89/raw/ERR349751_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:ET Tip
10315_6#51			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349797_1.fastq.gz;examples/Kp89/raw/ERR349797_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Surgical;Specimen:Tissue
10315_6#52			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349798_1.fastq.gz;examples/Kp89/raw/ERR349798_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:intermediate;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:Sputum
10315_6#53			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349799_1.fastq.gz;examples/Kp89/raw/ERR349799_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:intermediate;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:ET Tip
10315_6#54			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349800_1.fastq.gz;examples/Kp89/raw/ERR349800_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:intermediate;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:not recorded;Ward of isolation:PICU;Specimen:ET Tip
10315_6#57			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349803_1.fastq.gz;examples/Kp89/raw/ERR349803_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:Pus
10315_6#58			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349804_1.fastq.gz;examples/Kp89/raw/ERR349804_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:susceptible;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:Catheter tip
10315_6#59			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349805_1.fastq.gz;examples/Kp89/raw/ERR349805_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:OPD;Specimen:Urine
10315_6#6			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349752_1.fastq.gz;examples/Kp89/raw/ERR349752_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:not recorded;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:Blood
10315_6#60			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349806_1.fastq.gz;examples/Kp89/raw/ERR349806_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:Urine
10315_6#61			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349807_1.fastq.gz;examples/Kp89/raw/ERR349807_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Surgical;Specimen:Tissue
10315_6#62			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349808_1.fastq.gz;examples/Kp89/raw/ERR349808_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:ICU;Specimen:Blood
10315_6#65			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349811_1.fastq.gz;examples/Kp89/raw/ERR349811_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Gynaecological;Specimen:Urine
10315_6#66			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349812_1.fastq.gz;examples/Kp89/raw/ERR349812_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Paediatric;Specimen:Urine
10315_6#67			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349813_1.fastq.gz;examples/Kp89/raw/ERR349813_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:intermediate;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:ET Tip
10315_6#68			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349814_1.fastq.gz;examples/Kp89/raw/ERR349814_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:Suction
10315_6#69			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349815_1.fastq.gz;examples/Kp89/raw/ERR349815_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Maternity;Specimen:Urine
10315_6#7			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349753_1.fastq.gz;examples/Kp89/raw/ERR349753_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:Blood
10315_6#70			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349816_1.fastq.gz;examples/Kp89/raw/ERR349816_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:intermediate;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Private;Specimen:Urine
10315_6#71			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349817_1.fastq.gz;examples/Kp89/raw/ERR349817_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:ET Tip
10315_6#72			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349818_1.fastq.gz;examples/Kp89/raw/ERR349818_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:intermediate;ofloxacin:susceptible;gentamicin:resistant;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:susceptible;Ward of isolation:OPD;Specimen:Pus
10315_6#73			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349819_1.fastq.gz;examples/Kp89/raw/ERR349819_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Postpartum;Specimen:Urine
10315_6#74			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349820_1.fastq.gz;examples/Kp89/raw/ERR349820_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:ET Tip
10315_6#75			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349821_1.fastq.gz;examples/Kp89/raw/ERR349821_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:NICU;Specimen:Blood
10315_6#76			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349822_1.fastq.gz;examples/Kp89/raw/ERR349822_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Gynaecological;Specimen:Urine
10315_6#77			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349823_1.fastq.gz;examples/Kp89/raw/ERR349823_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:ET Tip
10315_6#78			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349824_1.fastq.gz;examples/Kp89/raw/ERR349824_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Medical;Specimen:Sputum
10315_6#79			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349825_1.fastq.gz;examples/Kp89/raw/ERR349825_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:PICU;Specimen:ET Tip
10315_6#8			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349754_1.fastq.gz;examples/Kp89/raw/ERR349754_2.fastq.gz	Yes	meropenem:resistant;imipenem:intermediate;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery B;Specimen:Blood
10315_6#80			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349826_1.fastq.gz;examples/Kp89/raw/ERR349826_2.fastq.gz	Yes	meropenem:resistant;imipenem:intermediate;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:OPD;Specimen:Pus
10315_6#82			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349828_1.fastq.gz;examples/Kp89/raw/ERR349828_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:not recorded;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:OPD;Specimen:Urine
10315_6#85			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349831_1.fastq.gz;examples/Kp89/raw/ERR349831_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:ICU;Specimen:Suction
10315_6#87			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349833_1.fastq.gz;examples/Kp89/raw/ERR349833_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery B;Specimen:Blood
10315_6#88			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349834_1.fastq.gz;examples/Kp89/raw/ERR349834_2.fastq.gz	Yes	meropenem:resistant;imipenem:resistant;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Maternity;Specimen:Catheter tip
10315_6#89			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349835_1.fastq.gz;examples/Kp89/raw/ERR349835_2.fastq.gz	Yes	meropenem:susceptible;imipenem:susceptible;ceftriaxone:resistant;ciprofloxacin:susceptible;ofloxacin:susceptible;gentamicin:susceptible;amikacin:susceptible;chloramphenicol:susceptible;trimethoprim/sulfamethoxazole:susceptible;Ward of isolation:PICU;Specimen:Blood
10315_6#9			Klebsiella	pneumoniae	read	examples/Kp89/raw/ERR349755_1.fastq.gz;examples/Kp89/raw/ERR349755_2.fastq.gz	Yes	meropenem:resistant;imipenem:intermediate;ceftriaxone:resistant;ciprofloxacin:resistant;ofloxacin:resistant;gentamicin:resistant;amikacin:resistant;chloramphenicol:resistant;trimethoprim/sulfamethoxazole:resistant;Ward of isolation:Nursery B;Specimen:Blood
